"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;";"95.0";"14.4";"141";"139";"132";"7";"2";"457044";"391075"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Candidatus Nitrosotalea;";"94.1";"14.4";"17";"17";"16";"1";"0";"457166";"391191"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;SCGC AB-179-E04;";"98.2";"14.4";"57";"56";"55";"1";"1";"457127";"391152"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;uncultured;";"94.6";"14.4";"56";"56";"53";"3";"0";"457127";"391154"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;";"97.0";"14.4";"691";"689";"668";"21";"2";"456494";"390539"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;";"97.7";"14.4";"219";"219";"214";"5";"0";"456964";"390993"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;";"98.6";"14.4";"71";"71";"70";"1";"0";"457112";"391137"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus;";"90.0";"14.4";"10";"10";"9";"1";"0";"457173";"391198"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Aeropyrum;";"100.0";"14.4";"27";"27";"27";"0";"0";"457156";"391180"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Caldisphaera;";"100.0";"14.4";"13";"13";"13";"0";"0";"457170";"391194"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Stetteria;";"100.0";"14.4";"4";"4";"4";"0";"0";"457179";"391203"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Thermodiscus;";"100.0";"14.4";"12";"12";"12";"0";"0";"457171";"391195"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;";"97.7";"14.4";"44";"44";"43";"1";"0";"457139";"391164"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;";"100.0";"14.4";"16";"16";"16";"0";"0";"457167";"391191"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus;";"100.0";"14.4";"1";"1";"1";"0";"0";"457182";"391206"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;";"100.0";"14.4";"4";"4";"4";"0";"0";"457179";"391203"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;";"88.9";"14.4";"9";"9";"8";"1";"0";"457174";"391199"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured;";"100.0";"14.4";"3";"3";"3";"0";"0";"457180";"391204"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;";"90.9";"14.4";"11";"11";"10";"1";"0";"457172";"391197"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;Ignicoccus;";"90.9";"14.4";"11";"11";"10";"1";"0";"457172";"391197"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;";"98.1";"14.4";"54";"54";"53";"1";"0";"457129";"391154"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;Ignisphaera;";"100.0";"14.4";"29";"29";"29";"0";"0";"457154";"391178"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;uncultured;";"95.8";"14.4";"24";"24";"23";"1";"0";"457159";"391184"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;";"96.7";"14.4";"30";"30";"29";"1";"0";"457153";"391178"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;";"100.0";"14.4";"3";"3";"3";"0";"0";"457180";"391204"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;";"90.0";"14.4";"10";"10";"9";"1";"0";"457173";"391198"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured;";"100.0";"14.4";"13";"13";"13";"0";"0";"457170";"391194"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;uncultured;";"100.0";"14.4";"8";"8";"8";"0";"0";"457175";"391199"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;";"91.7";"14.4";"36";"36";"33";"3";"0";"457147";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;";"91.7";"14.4";"36";"36";"33";"3";"0";"457147";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;";"100.0";"14.4";"15";"15";"15";"0";"0";"457168";"391192"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured;";"85.7";"14.4";"21";"21";"18";"3";"0";"457162";"391189"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;";"98.1";"14.4";"54";"54";"53";"1";"0";"457129";"391154"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA261-C22;";"100.0";"14.4";"10";"10";"10";"0";"0";"457173";"391197"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA471-B05;";"100.0";"14.4";"3";"3";"3";"0";"0";"457180";"391204"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;";"97.1";"14.4";"211";"209";"203";"6";"2";"456974";"391004"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;";"97.1";"14.4";"211";"209";"203";"6";"2";"456974";"391004"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;";"88.9";"14.4";"27";"27";"24";"3";"0";"457156";"391183"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;";"100.0";"14.4";"46";"46";"46";"0";"0";"457137";"391161"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus;";"98.0";"14.4";"51";"51";"50";"1";"0";"457132";"391157"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus;";"94.4";"14.4";"18";"18";"17";"1";"0";"457165";"391190"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;";"100.0";"14.4";"35";"33";"33";"0";"2";"457150";"391174"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera;";"100.0";"14.4";"4";"4";"4";"0";"0";"457179";"391203"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured;";"100.0";"14.4";"25";"25";"25";"0";"0";"457158";"391182"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);";"90.0";"14.4";"10";"10";"9";"1";"0";"457173";"391198"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;";"97.4";"14.4";"156";"156";"152";"4";"0";"457027";"391055"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;";"95.7";"14.4";"46";"46";"44";"2";"0";"457137";"391163"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;";"95.7";"14.4";"46";"46";"44";"2";"0";"457137";"391163"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;";"98.2";"14.4";"110";"110";"108";"2";"0";"457073";"391099"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;";"100.0";"14.4";"5";"5";"5";"0";"0";"457178";"391202"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;";"96.9";"14.4";"32";"32";"31";"1";"0";"457151";"391176"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium;";"100.0";"14.4";"7";"7";"7";"0";"0";"457176";"391200"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;";"100.0";"14.4";"31";"31";"31";"0";"0";"457152";"391176"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;uncultured;";"94.4";"14.4";"18";"18";"17";"1";"0";"457165";"391190"
"V4mis2";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;uncultured;";"66.7";"14.4";"3";"3";"2";"1";"0";"457180";"391205"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;";"96.5";"14.5";"1993";"1988";"1919";"69";"5";"455195";"389288"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;";"97.5";"14.5";"1500";"1499";"1461";"38";"1";"455684";"389746"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;";"97.5";"14.5";"1500";"1499";"1461";"38";"1";"455684";"389746"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;";"97.4";"14.5";"1451";"1450";"1412";"38";"1";"455733";"389795"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;";"98.1";"14.4";"216";"215";"211";"4";"1";"456968";"390996"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;";"98.5";"14.5";"1030";"1030";"1015";"15";"0";"456153";"390192"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;";"90.4";"14.4";"198";"198";"179";"19";"0";"456985";"391028"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;uncultured;";"100.0";"14.4";"6";"6";"6";"0";"0";"457177";"391201"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;";"100.0";"14.4";"2";"2";"2";"0";"0";"457181";"391205"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;";"100.0";"14.4";"2";"2";"2";"0";"0";"457181";"391205"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;";"100.0";"14.4";"47";"47";"47";"0";"0";"457136";"391160"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;";"100.0";"14.4";"47";"47";"47";"0";"0";"457136";"391160"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;";"92.8";"14.4";"83";"83";"77";"6";"0";"457100";"391130"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;";"92.8";"14.4";"83";"83";"77";"6";"0";"457100";"391130"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;";"100.0";"14.4";"27";"27";"27";"0";"0";"457156";"391180"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;";"100.0";"14.4";"27";"27";"27";"0";"0";"457156";"391180"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;";"89.3";"14.4";"56";"56";"50";"6";"0";"457127";"391157"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;";"100.0";"14.4";"28";"28";"28";"0";"0";"457155";"391179"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;";"57.1";"14.4";"14";"14";"8";"6";"0";"457169";"391199"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;uncultured;";"100.0";"14.4";"4";"4";"4";"0";"0";"457179";"391203"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;";"93.7";"14.4";"401";"397";"372";"25";"4";"456786";"390835"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;";"95.3";"14.4";"195";"191";"182";"9";"4";"456992";"391025"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;";"93.2";"14.4";"60";"59";"55";"4";"1";"457124";"391152"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;Candidatus Methanofastidiosum;";"93.2";"14.4";"60";"59";"55";"4";"1";"457124";"391152"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;uncultured;";"96.1";"14.4";"132";"129";"124";"5";"3";"457054";"391083"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;";"92.2";"14.4";"206";"206";"190";"16";"0";"456977";"391017"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;";"92.2";"14.4";"206";"206";"190";"16";"0";"456977";"391017"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus;";"100.0";"14.4";"9";"9";"9";"0";"0";"457174";"391198"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;";"100.0";"14.4";"23";"23";"23";"0";"0";"457160";"391184"
"V4mis2";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;";"90.8";"14.4";"174";"174";"158";"16";"0";"457009";"391049"
"V4mis2";"SILVA (only NR);Archaea;Hadarchaeota;";"93.6";"14.4";"300";"299";"280";"19";"1";"456884";"390927"
"V4mis2";"SILVA (only NR);Archaea;Hadarchaeota;Hadarchaeia;";"93.6";"14.4";"300";"299";"280";"19";"1";"456884";"390927"
"V4mis2";"SILVA (only NR);Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales;";"93.6";"14.4";"300";"299";"280";"19";"1";"456884";"390927"
